Dominant_Topic,Percentage_Contribution,Topic_Keywords,Project_ID,Project_Title,Project_Status,Focus_Area,Sector,Subector,Region,Topic_Category,Topic_Label
2,0.8807,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",36959,Integriertes Wasser-Ressourcen-Management im Rahmen der Lake Victoria Basin Commission,aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14030 - Trinkwasser, Sanitär u Abwasser-Grundl Vers",Afrika Subsahara,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
4,0.6079,"0.007*""finanzierung"" + 0.006*""bevölkerung"" + 0.006*""unterstützen"" + 0.005*""land"" + 0.005*""unternehmen"" + 0.005*""finanzieren"" + 0.005*""wirtschaftlich"" + 0.005*""leisten"" + 0.004*""covid"" + 0.004*""nachhaltig""",36972,Förderung der AccèsBanque Madagascar,aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24040 - Informelle und halbformelle Finanzintermediäre,Afrika Subsahara,Economic/ Financial Support & COVID,Topic 4: Economic/ Financial Support & COVID
4,0.6582,"0.007*""finanzierung"" + 0.006*""bevölkerung"" + 0.006*""unterstützen"" + 0.005*""land"" + 0.005*""unternehmen"" + 0.005*""finanzieren"" + 0.005*""wirtschaftlich"" + 0.005*""leisten"" + 0.004*""covid"" + 0.004*""nachhaltig""",36974,Wirtschaftliche und soziale Entwicklung in fragilen Sekundärstädten - Phase II (PRODESV II),aktiv,Demokratie,150 - Staat und Zivilgesellschaft,15112 - Dezentral.u.Förd.Subnation.Gebietskörpersch,Afrika Subsahara,Economic/ Financial Support & COVID,Topic 4: Economic/ Financial Support & COVID
10,0.2636,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",36977,Soziale Infrastruktur in der Ukraine über UNICEF,abgeschlossen,Friedensentwicklung und Krisenprävention,150 - Staat und Zivilgesellschaft,"15220 - Zivile Friedensentwicklung, Krisenpräv. u. Kon",Europa/Kaukasus,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
3,0.602,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",36990,"Stärkung der Resilienz, UNICEF, Libanon RACE",aktiv,Bildung,110 - Bildung,11220 - Grundschulbildung,Nordafrika/Naher Osten,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
9,0.6168,"0.013*""flüchtling"" + 0.011*""bevölkerung"" + 0.008*""nachhaltig"" + 0.007*""syrisch"" + 0.007*""verbessern"" + 0.006*""verbesserung"" + 0.005*""unterstützen"" + 0.005*""infrastruktur"" + 0.004*""lokal"" + 0.004*""finanzieren""",36994,Berufliche Bildung im Libanon,abgeschlossen,Bildung,110 - Bildung,11330 - Berufliche Bildung,Nordafrika/Naher Osten,Infrastructural and Humanitarian Support & Syrian Refugees,Topic 9: Infrastructural and Humanitarian Support & Syrian Refugees
2,0.5078,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",36998,Chuxiong Medical and Pharmaceutical College,aktiv,Wirtschaft und Finanzsektor,110 - Bildung,11330 - Berufliche Bildung,Asien/Ozeanien,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
5,0.9927,"0.008*""fond"" + 0.007*""unterstützen"" + 0.006*""land"" + 0.006*""finanzieren"" + 0.006*""verbessern"" + 0.006*""nachhaltig"" + 0.005*""region"" + 0.005*""fonds"" + 0.005*""sanad"" + 0.005*""lokal""",36999,Förderbeteiligung SANAD Fund for MSME / Phase III,aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24040 - Informelle und halbformelle Finanzintermediäre,Nordafrika/Naher Osten,Regional Financing & Local Support,Topic 5: Regional Financing & Local Support
11,0.9901,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",37003,Integriertes Schutzgebietsmanagement II,aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Afrika Subsahara,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
11,0.6638,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",37012,Nachhaltige Nutzung natürlicher Ressourcen und Biodiversität,aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Lateinamerika,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
8,0.9913,"0.008*""leisten"" + 0.007*""finanzierung"" + 0.006*""entwicklung"" + 0.005*""deutsch"" + 0.004*""mef"" + 0.004*""nachhaltig"" + 0.004*""unternehmen"" + 0.004*""verbessern"" + 0.004*""wirtschaftlich"" + 0.004*""unterstützen""",37014,Förderung der beruflichen Bildung und Beschäftigung II,aktiv,Bildung,110 - Bildung,11320 - Sekundarschulbildung Stufe II,Afrika Subsahara,Sustainable Finance & Microfinance for Private Sector,Topic 8: Sustainable Finance & Microfinance for Private Sector
11,0.6456,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",37016,Ausbildungsinitiative für Afrika,aktiv,Bildung,110 - Bildung,11330 - Berufliche Bildung,Afrika Subsahara,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
3,0.9846,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",37027,Unterstützung von mangel- und unterernährten Kindern sowie von der Dürre betroffenen Bevölkerungsgruppen in Äthiopien,abgeschlossen,Ernährung und Landwirtschaft,520 - Nahrungsmittelhilfe/Hilfe zur Ernährungssicherung,52010 - Entw. Nahrungsmittelh./Hilfe zur Ernährungssicher.,Afrika Subsahara,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
8,0.9905,"0.008*""leisten"" + 0.007*""finanzierung"" + 0.006*""entwicklung"" + 0.005*""deutsch"" + 0.004*""mef"" + 0.004*""nachhaltig"" + 0.004*""unternehmen"" + 0.004*""verbessern"" + 0.004*""wirtschaftlich"" + 0.004*""unterstützen""",37029,Fonds zur Förderung der marktorientierten Landwirtschaft Phase III,aktiv,Ernährung und Landwirtschaft,"310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen",31120 - Landwirtschaftsentwicklung,Afrika Subsahara,Sustainable Finance & Microfinance for Private Sector,Topic 8: Sustainable Finance & Microfinance for Private Sector
3,0.5863,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",37042,"Stärkung der Resilienz - UNICEF Türkei, Bildung und Kinderschutz",abgeschlossen,Sonstige,720 - Soforthilfe und entsprechende Dienstleistungen,72010 - Materielle Nothilfe,Nordafrika/Naher Osten,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
3,0.9916,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",37045,Bildungs-SWAp ESP-FASE VIII,abgeschlossen,Bildung,110 - Bildung,11220 - Grundschulbildung,Afrika Subsahara,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
3,0.9918,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",37046,Bildungs-SWAp ESP-FASE IX,abgeschlossen,Bildung,110 - Bildung,11220 - Grundschulbildung,Afrika Subsahara,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
6,0.5831,"0.008*""bevölkerung"" + 0.007*""kind"" + 0.006*""lokal"" + 0.005*""infrastruktur"" + 0.005*""komponente"" + 0.004*""umsetzung"" + 0.004*""sozial"" + 0.004*""gemeinde"" + 0.004*""unterstützung"" + 0.004*""unterstützen""",37056,"Stärkung der Resilienz, UNICEF Irak Traumabehandlung",abgeschlossen,Friedensentwicklung und Krisenprävention,160 - Sonstige soziale Infrastruktur und Dienste,16010 - Soziale Sicherung,Nordafrika/Naher Osten,"Children / Youth, Public Infrastructure, & Local Community","Topic 6: Children / Youth, Public Infrastructure, & Local Community"
3,0.5948,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",37057,"Stärkung der Resilienz, UNICEF Jordanien Bildung",abgeschlossen,Bildung,110 - Bildung,11220 - Grundschulbildung,Nordafrika/Naher Osten,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
5,0.9927,"0.008*""fond"" + 0.007*""unterstützen"" + 0.006*""land"" + 0.006*""finanzieren"" + 0.006*""verbessern"" + 0.006*""nachhaltig"" + 0.005*""region"" + 0.005*""fonds"" + 0.005*""sanad"" + 0.005*""lokal""",37062,MENA-Regionalfonds für KKMU-Finanzierung V (SANAD),aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Nordafrika/Naher Osten,Regional Financing & Local Support,Topic 5: Regional Financing & Local Support
11,0.6456,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",37073,Ausbildungsinitiative für Afrika II,aktiv,Bildung,110 - Bildung,11330 - Berufliche Bildung,Afrika Subsahara,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
11,0.9901,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",37101,Erhalt der Biodiversität und nachhaltiges Managenemt der natürlichen Lebensgrundlagen und Forsten,aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Afrika Subsahara,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
1,0.6656,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",37118,Multisektorales Ernährungssicherungsprogramm (Scaling Up Nutrition - SUN II) in Sambia,aktiv,Ernährung und Landwirtschaft,120 - Gesundheitswesen,12240 - Grundlegende Ernährung,Afrika Subsahara,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
6,0.9925,"0.008*""bevölkerung"" + 0.007*""kind"" + 0.006*""lokal"" + 0.005*""infrastruktur"" + 0.005*""komponente"" + 0.004*""umsetzung"" + 0.004*""sozial"" + 0.004*""gemeinde"" + 0.004*""unterstützung"" + 0.004*""unterstützen""",37120,Partnerschaft zur Entwicklung lokaler Anleihenmärkte VI,aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Global,"Children / Youth, Public Infrastructure, & Local Community","Topic 6: Children / Youth, Public Infrastructure, & Local Community"
9,0.9885,"0.013*""flüchtling"" + 0.011*""bevölkerung"" + 0.008*""nachhaltig"" + 0.007*""syrisch"" + 0.007*""verbessern"" + 0.006*""verbesserung"" + 0.005*""unterstützen"" + 0.005*""infrastruktur"" + 0.004*""lokal"" + 0.004*""finanzieren""",37122,Grenzüberschreitendes Biosphärenreservat Prespa IV (PONT),aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Europa/Kaukasus,Infrastructural and Humanitarian Support & Syrian Refugees,Topic 9: Infrastructural and Humanitarian Support & Syrian Refugees
9,0.5544,"0.013*""flüchtling"" + 0.011*""bevölkerung"" + 0.008*""nachhaltig"" + 0.007*""syrisch"" + 0.007*""verbessern"" + 0.006*""verbesserung"" + 0.005*""unterstützen"" + 0.005*""infrastruktur"" + 0.004*""lokal"" + 0.004*""finanzieren""",37123,"Stärkung der Resilienz, UNDP Irak Krisen- und Resilienzprogramm",abgeschlossen,Sonstige,730 - Wiederaufbauhilfe u. Wiederherstellungsmassnah,73010 - Kurzfristiger Wiederaufbau,Nordafrika/Naher Osten,Infrastructural and Humanitarian Support & Syrian Refugees,Topic 9: Infrastructural and Humanitarian Support & Syrian Refugees
9,0.6902,"0.013*""flüchtling"" + 0.011*""bevölkerung"" + 0.008*""nachhaltig"" + 0.007*""syrisch"" + 0.007*""verbessern"" + 0.006*""verbesserung"" + 0.005*""unterstützen"" + 0.005*""infrastruktur"" + 0.004*""lokal"" + 0.004*""finanzieren""",37129,"Stärkung der Resilienz, UNDP Irak Stabilisierungsfazilität FFIS",abgeschlossen,Sonstige,730 - Wiederaufbauhilfe u. Wiederherstellungsmassnah,73010 - Kurzfristiger Wiederaufbau,Nordafrika/Naher Osten,Infrastructural and Humanitarian Support & Syrian Refugees,Topic 9: Infrastructural and Humanitarian Support & Syrian Refugees
9,0.7026,"0.013*""flüchtling"" + 0.011*""bevölkerung"" + 0.008*""nachhaltig"" + 0.007*""syrisch"" + 0.007*""verbessern"" + 0.006*""verbesserung"" + 0.005*""unterstützen"" + 0.005*""infrastruktur"" + 0.004*""lokal"" + 0.004*""finanzieren""",37130,UNRWA - Palästinensische Flüchtlinge im Libanon,abgeschlossen,Sonstige,720 - Soforthilfe und entsprechende Dienstleistungen,72050 - Nothilfekoordinierung,Nordafrika/Naher Osten,Infrastructural and Humanitarian Support & Syrian Refugees,Topic 9: Infrastructural and Humanitarian Support & Syrian Refugees
10,0.6357,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",37137,"Wasser- und Sanitärversorgung in den Regionen Boucle du Mouhoun, Cascades, Hauts-Bassins und Sud-Oue",aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14020 - Wasser-, Sanitärver. und Abwassermanagement",Afrika Subsahara,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
1,0.6163,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",53834,Senegal: Reformpartnerschaft FZ-ThM-Programm: KKMU-Förderung II,aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Afrika Subsahara,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
2,0.9914,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",37151,Regionaler Energieeffizienzfonds westlicher Balkan und europäische Nachbarschaftsregionen (GGF V),aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Europa/Kaukasus,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
1,0.3502,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",37154,Stärkung der sozialen Infrastruktur in von der Flüchtlingskrise belasteten Gemeinden,aktiv,Demokratie,430 - Andere multisektorale Maßnahmen,43030 - Stadtentwicklung und -verwaltung,Europa/Kaukasus,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
3,0.9868,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",37156,Stepping Up Investments for Growth Acceleration Programme (SIGAP) Phase III,abgeschlossen,Sonstige,430 - Andere multisektorale Maßnahmen,43010 - Multisektorale Hilfe,Asien/Ozeanien,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
6,0.9925,"0.008*""bevölkerung"" + 0.007*""kind"" + 0.006*""lokal"" + 0.005*""infrastruktur"" + 0.005*""komponente"" + 0.004*""umsetzung"" + 0.004*""sozial"" + 0.004*""gemeinde"" + 0.004*""unterstützung"" + 0.004*""unterstützen""",37181,Natural Disaster Fund (Global Parametrics),aktiv,Wirtschaft und Finanzsektor,430 - Andere multisektorale Maßnahmen,43010 - Multisektorale Hilfe,Global,"Children / Youth, Public Infrastructure, & Local Community","Topic 6: Children / Youth, Public Infrastructure, & Local Community"
7,0.986,"0.009*""ländlich"" + 0.008*""bevölkerung"" + 0.007*""unterstützen"" + 0.007*""verbesserung"" + 0.006*""nachhaltig"" + 0.005*""sozial"" + 0.005*""zugang"" + 0.004*""leisten"" + 0.004*""landwirtschaftlich"" + 0.004*""deutsch""",37189,Programm Wiederaufbau von Straßen (nach Flutschäden in der Sagaing Region),abgeschlossen,Transport und Kommunikation,210 - Transport und Lagerhaltung,21020 - Straßenverkehrswesen,Asien/Ozeanien,"Rural Development, Agricultural Support, & Climate Change","Topic 7: Rural Development, Agricultural Support, & Climate Change"
7,0.9931,"0.009*""ländlich"" + 0.008*""bevölkerung"" + 0.007*""unterstützen"" + 0.007*""verbesserung"" + 0.006*""nachhaltig"" + 0.005*""sozial"" + 0.005*""zugang"" + 0.004*""leisten"" + 0.004*""landwirtschaftlich"" + 0.004*""deutsch""",37190,Europäischer Fonds für Südosteuropa (EFSE) - Impulse für Beschäftigung in Serbien,aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Europa/Kaukasus,"Rural Development, Agricultural Support, & Climate Change","Topic 7: Rural Development, Agricultural Support, & Climate Change"
9,0.8877,"0.013*""flüchtling"" + 0.011*""bevölkerung"" + 0.008*""nachhaltig"" + 0.007*""syrisch"" + 0.007*""verbessern"" + 0.006*""verbesserung"" + 0.005*""unterstützen"" + 0.005*""infrastruktur"" + 0.004*""lokal"" + 0.004*""finanzieren""",37206,Deutscher Beitrag zum EU-Trust-Fund,aktiv,Friedensentwicklung und Krisenprävention,160 - Sonstige soziale Infrastruktur und Dienste,16050 - Multisektorale Hilfe für soziale Grunddienste,Afrika Subsahara,Infrastructural and Humanitarian Support & Syrian Refugees,Topic 9: Infrastructural and Humanitarian Support & Syrian Refugees
7,0.6081,"0.009*""ländlich"" + 0.008*""bevölkerung"" + 0.007*""unterstützen"" + 0.007*""verbesserung"" + 0.006*""nachhaltig"" + 0.005*""sozial"" + 0.005*""zugang"" + 0.004*""leisten"" + 0.004*""landwirtschaftlich"" + 0.004*""deutsch""",37219,Regionaler KKMU-Investmentfonds für Sub-Sahara Afrika (REGMIFA) (FöB 2016),aktiv,Wirtschaft und Finanzsektor,"320 - Industrie. Bodenschätze und Bergbau, Bauwesen",32130 - Entwicklung von Klein- und mittelst. Unternehmen,Afrika Subsahara,"Rural Development, Agricultural Support, & Climate Change","Topic 7: Rural Development, Agricultural Support, & Climate Change"
1,0.466,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",37223,"""Phase V: Verbesserung der dezentralen Wasserversorgung an der Kontaktlinie"", Teil d. Programms...",aktiv,Friedensentwicklung und Krisenprävention,150 - Staat und Zivilgesellschaft,"15220 - Zivile Friedensentwicklung, Krisenpräv. u. Kon",Europa/Kaukasus,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
5,0.9406,"0.008*""fond"" + 0.007*""unterstützen"" + 0.006*""land"" + 0.006*""finanzieren"" + 0.006*""verbessern"" + 0.006*""nachhaltig"" + 0.005*""region"" + 0.005*""fonds"" + 0.005*""sanad"" + 0.005*""lokal""",37224,Klima- und umweltfreundliche Stadtentwicklung,aktiv,Transport und Kommunikation,210 - Transport und Lagerhaltung,21010 - Verkehrspolitik und Verwaltung,Lateinamerika,Regional Financing & Local Support,Topic 5: Regional Financing & Local Support
7,0.9177,"0.009*""ländlich"" + 0.008*""bevölkerung"" + 0.007*""unterstützen"" + 0.007*""verbesserung"" + 0.006*""nachhaltig"" + 0.005*""sozial"" + 0.005*""zugang"" + 0.004*""leisten"" + 0.004*""landwirtschaftlich"" + 0.004*""deutsch""",37247,Reintegration von Binnenflüchtlingen,aktiv,Ernährung und Landwirtschaft,520 - Nahrungsmittelhilfe/Hilfe zur Ernährungssicherung,52010 - Entw. Nahrungsmittelh./Hilfe zur Ernährungssicher.,Afrika Subsahara,"Rural Development, Agricultural Support, & Climate Change","Topic 7: Rural Development, Agricultural Support, & Climate Change"
10,0.597,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",37261,Windpark Golf von Suez,aktiv,Energie,"230 - Energieerzeugung, -verteilung und -effizienz",23240 - Windenergie (On-/Off-Shore),Nordafrika/Naher Osten,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
2,0.5468,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",37263,Sustainable and Inclusive Energy Program (SIEP)- Subprogram II,abgeschlossen,Energie,"230 - Energieerzeugung, -verteilung und -effizienz",23110 - Energiepolitik und -verwaltung,Asien/Ozeanien,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
3,0.5606,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",37264,Xinyang College of Agriculture and Forestry,abgeschlossen,Bildung,110 - Bildung,11330 - Berufliche Bildung,Asien/Ozeanien,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
2,0.99,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",37265,MIFA Debt Fund - Erneuerbare Energien,aktiv,Energie,"230 - Energieerzeugung, -verteilung und -effizienz","23210 - Energieerzeugung, erneuerbare Quellen",Asien/Ozeanien,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
1,0.8583,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",37300,Roma Education Fund: Verbesserung der Bildungs- und Integrationschancen der Roma in Serbien,abgeschlossen,Wirtschaft und Finanzsektor,110 - Bildung,11120 - Bildungseinrichtungen und Fortbildung,Europa/Kaukasus,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
8,0.5818,"0.008*""leisten"" + 0.007*""finanzierung"" + 0.006*""entwicklung"" + 0.005*""deutsch"" + 0.004*""mef"" + 0.004*""nachhaltig"" + 0.004*""unternehmen"" + 0.004*""verbessern"" + 0.004*""wirtschaftlich"" + 0.004*""unterstützen""",37306,UNAM Campus Katima Mulilo II,aktiv,Umwelt und Klima,110 - Bildung,11420 - Hochschulbildung,Afrika Subsahara,Sustainable Finance & Microfinance for Private Sector,Topic 8: Sustainable Finance & Microfinance for Private Sector
10,0.9916,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",37317,Klimainitiative städtische Abwasserentsorgung Kapstadt,aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,14022 - Sanitärversorgung und Abwassermanagement -g,Afrika Subsahara,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
2,0.7984,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",37320,Abwasserentsorgung Podgorica,aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14020 - Wasser-, Sanitärver. und Abwassermanagement",Europa/Kaukasus,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
